timestamp,position_error,orientation_error
1,0.02163551144717947,3.468000614546843e-05
2,0.026628902373866826,4.701107760203259e-05
3,0.03052875253047553,4.831099748880528e-05
4,0.026900442435068773,5.297113288991219e-05
5,0.02792155785390299,5.6103430250310465e-05
6,0.02860231469299331,5.205998054653239e-05
7,0.02890625891963176,5.6382963395540315e-05
8,0.029292371764376827,6.040852010740182e-05
9,0.028659112225233582,6.128677269647928e-05
10,0.028065830309593393,6.177748307375499e-05
11,0.027580486122628322,6.227737661509579e-05
12,0.027281718605153105,0.0002042677573064252
13,0.026413484566641297,0.00022511962558909368
14,0.026240690183421976,0.0002335628865639793
15,0.02550126035691379,0.0002626065638014554
16,0.02485430367594209,0.0002874297117279372
17,0.024333283443858482,0.00030924634160416667
18,0.023823167838623552,0.0003286099842198163
19,0.022990241382108857,0.0003458814564999822
20,0.022640592236811814,0.0004271539115242097
21,0.021943283941693308,0.00040961121080749824
22,0.021290057271435212,0.0003931495445619309
23,0.021023273451484383,0.0005088305154227454
24,0.0208139513948767,0.0006158217634174788
25,0.02030133575383811,0.0006300850254218057
26,0.019828143001182734,0.0006396679750029058
27,0.019661954941904005,0.0007153921580366013
28,0.01924545043826543,0.0007340560271687934
29,0.018857646569251478,0.0007495068112350534
30,0.018495705098818337,0.0007567522221575281
31,0.018143412922757965,0.0007645591894879996
32,0.01782644211277813,0.0007691393280570455
33,0.01752866091154473,0.0007700905831983813
34,0.01724838841988462,0.0007709716504127066
35,0.016972060997266322,0.0007779301490452431
36,0.017167288332851253,0.0008389674164984347
37,0.017568156918532345,0.0008476103177776025
38,0.017914055732564032,0.000878281602794457
39,0.01827524972070367,0.0008820115167994286
40,0.018618382707568548,0.0009508958919741012
41,0.0187496267167759,0.000996344411446704
42,0.018874646456149387,0.0010395014820059494
43,0.01899383749350188,0.0010435801771075143
44,0.01910761635112321,0.001047933080032102
45,0.01939410694643865,0.001034677358166512
46,0.019494238937992417,0.0010197548014920807
47,0.019590096913796474,0.0010049297293617545
48,0.019821859388492225,0.0010170328504886003
49,0.019907144770110394,0.0010116695999655824
50,0.019988592651432418,0.0010074911539413973
51,0.01991039139494313,0.0009885513613037107
52,0.019980915975389597,0.0009850097656090345
53,0.01988989052204011,0.0009667726257568943
54,0.019942574426809637,0.000963902234130537
55,0.01999335489406801,0.0009848536330518253
56,0.02004231805476411,0.0010678828343763818
57,0.01995664294365123,0.0011047493451967125
58,0.019888480865561806,0.0011153616653414708
59,0.019822609037460068,0.0011144657997134422
60,0.019750812587517104,0.0011195839166677514
61,0.019689365836137677,0.001105527330370669
62,0.019629879860701107,0.001092259796784347
63,0.019565923372034954,0.0010793890054864568
64,0.019497000131815462,0.0010670239272082616
65,0.019320146072175998,0.0010675273202933292
66,0.019263791689645874,0.0010558933254900054
67,0.019089342721252664,0.0010565830548136983
68,0.018920052218425586,0.0010573064186363893
69,0.018761769364499907,0.001058114612115409
70,0.01860198879500458,0.001073331981777598
71,0.018452674418145604,0.0010873779854682194
72,0.018307478386072096,0.001100909000333835
73,0.018166290245324852,0.0011101607488866786
74,0.0180285926640243,0.001115303132063533
75,0.017894885031142983,0.001120376980674459
76,0.017764693764806643,0.0011249339406677143
77,0.017637609772823533,0.0011118421822298077
78,0.017511400640071433,0.001125903835612485
79,0.017385638310464427,0.0011336030706632218
80,0.017263039701814833,0.0011408886081372698
81,0.0171487020209214,0.001153040291298815
82,0.017031984842510058,0.0011631011709914514
83,0.017115968936324822,0.001174760851007782
84,0.017293174487699067,0.0011654140365636105
85,0.01737207928822406,0.0011569999496325524
86,0.017522553847455505,0.0011461947973218742
87,0.017582473948917696,0.0011403764532865416
88,0.017746346374335666,0.0011292473630122686
89,0.017906501905705034,0.0011735165940306117
90,0.018063115972566792,0.001206978185819314
91,0.018216274142710695,0.0012222034493628497
92,0.018366095496884286,0.001237366756848311
93,0.01842667488235088,0.0013131249037784066
94,0.01857107156094745,0.001358975239029921
95,0.018628212924080668,0.0013962092776949376
